yob1,W_HO_PTA_dpr_SB,UW_HO_PTA_dpr_SB,T_W_HO_PTA_dpr_SB,T_UW_HO_PTA_dpr_SB,HO_ptadpr_RegCow_1,W_HO_SD_dpr_SB,W_BY1_HO_SD_dpr_SB,UW_HO_SD_dpr_SB,UW_BY1_HO_SD_dpr_SB,T_W_HO_SD_dpr_SB,T_UW_HO_SD_dpr_SB,W_BY1_HO_PTA_dpr_SB,HO_ptadpr_RegCow_4,W_HO_REL_dpr_SB,UW_HO_REL_dpr_SB,T_W_HO_REL_dpr_SB,T_UW_HO_REL_dpr_SB,W_BY1_HO_REL_dpr_SB,W_HO_NUM_PTA_SB,UW_HO_NUM_PTA_SB,T_W_HO_NUM_PTA_SB,T_UW_HO_NUM_PTA_SB,W_BY1_HO_NUM_PTA_SB,yob2,W_HO_PTA_dpr_SC,UW_HO_PTA_dpr_SC,T_W_HO_PTA_dpr_SC,T_UW_HO_PTA_dpr_SC,HO_ptadpr_RegCow_2,W_HO_SD_dpr_SC,W_BY1_HO_SD_dpr_SC,UW_HO_SD_dpr_SC,UW_BY1_HO_SD_dpr_SC,T_W_HO_SD_dpr_SC,T_UW_HO_SD_dpr_SC,W_BY1_HO_PTA_dpr_SC,HO_ptadpr_RegCow_5,W_HO_REL_dpr_SC,UW_HO_REL_dpr_SC,T_W_HO_REL_dpr_SC,T_UW_HO_REL_dpr_SC,W_BY1_HO_REL_dpr_SC,W_HO_NUM_PTA_SC,UW_HO_NUM_PTA_SC,T_W_HO_NUM_PTA_SC,T_UW_HO_NUM_PTA_SC,W_BY1_HO_NUM_PTA_SC,yob3,W_HO_PTA_dpr_DB,UW_HO_PTA_dpr_DB,T_W_HO_PTA_dpr_DB,T_UW_HO_PTA_dpr_DB,HO_ptadpr_RegCow_3,W_HO_SD_dpr_DB,W_BY1_HO_SD_dpr_DB,UW_HO_SD_dpr_DB,UW_BY1_HO_SD_dpr_DB,T_W_HO_SD_dpr_DB,T_UW_HO_SD_dpr_DB,W_BY1_HO_PTA_dpr_DB,HO_ptadpr_RegCow_6,W_HO_REL_dpr_DB,UW_HO_REL_dpr_DB,T_W_HO_REL_dpr_DB,T_UW_HO_REL_dpr_DB,W_BY1_HO_REL_dpr_DB,W_HO_NUM_PTA_DB,UW_HO_NUM_PTA_DB,T_W_HO_NUM_PTA_DB,T_UW_HO_NUM_PTA_DB,W_BY1_HO_NUM_PTA_DB,yob4,W_HO_PTA_dpr_DC,UW_HO_PTA_dpr_DC,T_W_HO_PTA_dpr_DC,T_UW_HO_PTA_dpr_DC,HO_ptadpr_AllCow_1,W_HO_SD_dpr_DC,W_BY1_HO_SD_dpr_DC,UW_HO_SD_dpr_DC,UW_BY1_HO_SD_dpr_DC,T_W_HO_SD_dpr_DC,T_UW_HO_SD_dpr_DC,W_BY1_HO_PTA_dpr_DC,HO_ptadpr_AllCow_2,W_HO_REL_dpr_DC,UW_HO_REL_dpr_DC,T_W_HO_REL_dpr_DC,T_UW_HO_REL_dpr_DC,W_BY1_HO_REL_dpr_DC,W_HO_NUM_PTA_DC,UW_HO_NUM_PTA_DC,T_W_HO_NUM_PTA_DC,T_UW_HO_NUM_PTA_DC,W_BY1_HO_NUM_PTA_DC,yob5,W_BY1_HO_SD_dpr_SB_1,W_BY1_HO_SD_dpr_SC_1,W_BY1_HO_SD_dpr_DB_1,W_BY1_HO_SD_dpr_DC_1,W_HO_SD_dpr_SB_1,W_HO_SD_dpr_SC_1,W_HO_SD_dpr_DB_1,W_HO_SD_dpr_DC_1,UW_BY1_HO_SD_dpr_SB_1,UW_BY1_HO_SD_dpr_SC_1,UW_BY1_HO_SD_dpr_DB_1,UW_BY1_HO_SD_dpr_DC_1,UW_HO_SD_dpr_SB_1,UW_HO_SD_dpr_SC_1,UW_HO_SD_dpr_DB_1,UW_HO_SD_dpr_DC_1,T_W_HO_SD_dpr_SB_1,T_W_HO_SD_dpr_SC_1,T_W_HO_SD_dpr_DB_1,T_W_HO_SD_dpr_DC_1,yob6,GenInt_SB,GenInt_SC,GenInt_DB,GenInt_DC,nGI_SB,nGI_SC,nGI_DB,nGI_DC,yob7,UW_BY1_HO_PTA_dpr_SB,HO_ptadpr_RegCow_7,HO_numdpr_RegCow,HO_ptadpr_AllCow_3,HO_numdpr_AllCow
1985,0.385823386,1.833467599,0.385823386,1.833467599,2.992429754,-2.606606367,-3.23089331,-1.158962155,-1.095166879,-2.606606367,-1.158962155,1.290892517,2.992429754,0.974804355,0.762163489,0.974804355,0.762163489,0.963635056,7139,171,7139,171,1733,1985,1.279167634,2.481000171,1.279213284,2.481000171,2.992429754,-1.71326212,-1.71053296,-0.511429583,-0.270410479,-1.713216469,-0.511429583,2.624825371,2.992429754,0.895142287,0.495472179,0.895242202,0.495472179,0.878498267,698430,3218,697712,3218,572055,1985,2.522631144,3.041143087,2.522631144,3.041143087,2.992429754,-0.46979861,-0.619972783,0.048713333,-0.24193943,-0.46979861,0.048713333,3.354378885,2.992429754,32.20307755,25.81814959,32.20307755,25.81814959,46.54876847,4939,2821,4939,2821,3045,1985,3.721654408,3.734317079,3.721661767,3.734316441,3.704457258,0.01719715,-0.038310656,0.029859822,-0.018977076,0.017204509,0.029859183,4.54110799,3.704457258,28.523996,26.84942904,28.5239171,26.84938874,27.85341181,634335,379708,634316,379706,611318,1985,-3.23089331,-1.71053296,-0.619972783,-0.038310656,-2.606606367,-1.71326212,-0.46979861,0.01719715,-1.095166879,-0.270410479,-0.24193943,-0.018977076,-1.158962155,-0.511429583,0.048713333,0.029859822,-2.606606367,-1.713216469,-0.46979861,0.017204509,1985,7.801839953,7.068774903,5.316023283,4.212772538,1733,572055,3045,611318,1985,2.969769272,2.992429754,12404,3.704457258,784506
1986,-0.453528652,1.168513388,-0.453701339,1.168513388,2.585192538,-3.03872119,-3.509621949,-1.41667915,-1.232067205,-3.038893877,-1.41667915,0.895575959,2.585192538,0.962790772,0.769300178,0.962788046,0.769300178,0.968202098,9982,243,9981,243,4517,1986,0.042278156,1.956174926,0.040745154,1.955413163,2.585192538,-2.542914382,-1.800861427,-0.629017612,-0.326857049,-2.544447384,-0.629779375,2.401185794,2.585192538,0.912299783,0.517963676,0.912280687,0.517983256,0.888188611,911549,3983,910364,3982,635634,1986,1.802411544,2.597486934,1.802411544,2.597486934,2.585192538,-0.782780993,-0.072175769,0.012294396,0.33114802,-0.782780993,0.012294396,3.721892302,2.585192538,39.80815518,27.91679049,39.80815518,27.91679049,32.01991342,7063,3365,7063,3365,5775,1986,3.500736862,3.530047881,3.500766985,3.530050887,3.487497689,0.013239174,-0.028166681,0.042550192,-0.003383441,0.013269297,0.042553198,4.359211489,3.487497689,28.8233454,27.04211353,28.82324672,27.04225327,28.18382366,640289,387049,640271,387047,623429,1986,-3.509621949,-1.800861427,-0.072175769,-0.028166681,-3.03872119,-2.542914382,-0.782780993,0.013239174,-1.232067205,-0.326857049,0.33114802,-0.003383441,-1.41667915,-0.629017612,0.012294396,0.042550192,-3.038893877,-2.544447384,-0.782780993,0.013269297,1986,7.97950582,7.192517982,5.403794946,4.260143557,4517,635634,5775,623429,1986,2.735233176,2.585192538,13098,3.487497689,791825
1987,-0.170813281,1.230277986,-0.170701955,1.230277986,2.352850583,-2.523663864,-3.419833391,-1.122572597,-1.182074512,-2.523552539,-1.122572597,0.841711273,2.352850583,0.955342429,0.758930249,0.955332099,0.758930249,0.962369187,3356,187,3355,187,4959,1987,-0.004262745,1.787946357,-0.003913897,1.787559438,2.352850583,-2.357113328,-1.86287228,-0.564904226,-0.358492142,-2.35676448,-0.565291145,2.149062085,2.352850583,0.879253776,0.513133507,0.87925707,0.513168555,0.891815094,618323,3890,617551,3888,702162,1987,2.130668324,2.646337507,2.130668324,2.646337507,2.352850583,-0.222182258,-0.155239907,0.293486924,0.279396454,-0.222182258,0.293486924,3.456533337,2.352850583,30.13795689,23.51196809,30.13795689,23.51196809,32.42156863,5335,3008,5335,3008,5916,1987,3.311967636,3.315545079,3.31200006,3.315540599,3.280796981,0.031170655,-0.015631991,0.034748098,0.005494839,0.031203079,0.034743618,4.164252502,3.280796981,28.4825936,26.97046813,28.48244348,26.97070966,28.31243095,649876,401126,649844,401122,646258,1987,-3.419833391,-1.86287228,-0.155239907,-0.015631991,-2.523663864,-2.357113328,-0.222182258,0.031170655,-1.182074512,-0.358492142,0.279396454,0.005494839,-1.122572597,-0.564904226,0.293486924,0.034748098,-2.523552539,-2.35676448,-0.222182258,0.031203079,1987,8.32614544,7.236895337,5.465756734,4.258383161,4959,702162,5916,646258,1987,2.59516416,2.352850583,13196,3.280796981,821720
1988,-1.007861307,0.979356039,-1.009150317,0.979356039,2.195433438,-3.203294745,-2.854641805,-1.216077398,-1.217317529,-3.204583754,-1.216077398,1.101614379,2.195433438,0.943979147,0.751599768,0.944024194,0.751599768,0.962855672,5639,225,5638,225,5837,1988,0.308711918,1.719398443,0.308078782,1.719398443,2.195433438,-1.886721519,-1.917031685,-0.476034995,-0.460711441,-1.887354656,-0.476034995,1.861752709,2.195433438,0.863347032,0.520441546,0.863328241,0.520441546,0.898143688,551288,4075,550711,4075,750960,1988,1.869278428,2.421309879,1.869278428,2.421309879,2.195433438,-0.326155009,-0.312813818,0.225876442,0.207494332,-0.326155009,0.225876442,3.0759965,2.195433438,33.03200533,24.67919255,33.03200533,24.67919255,34.05482042,5999,3220,5999,3220,6348,1988,3.074053216,3.077981165,3.074057378,3.077982858,3.038049741,0.036003475,-0.006060762,0.039931424,0.020511003,0.036007638,0.039933117,3.960937173,3.038049741,28.66651992,27.0705847,28.66639087,27.07065878,28.5133951,658723,409763,658690,409758,660540,1988,-2.854641805,-1.917031685,-0.312813818,-0.006060762,-3.203294745,-1.886721519,-0.326155009,0.036003475,-1.217317529,-0.460711441,0.207494332,0.020511003,-1.216077398,-0.476034995,0.225876442,0.039931424,-3.204583754,-1.887354656,-0.326155009,0.036007638,1988,8.260287198,7.359095574,5.386598074,4.252856184,5837,750960,6348,660540,1988,2.266031048,2.195433438,15261,3.038049741,842526
1989,-0.828177536,0.90998658,-0.828177536,0.90998658,2.108317993,-2.936495528,-2.580537743,-1.198331413,-1.106503741,-2.936495528,-1.198331413,1.185529492,2.108317993,0.959331561,0.788532577,0.959331561,0.788532577,0.971402086,7932,259,7932,259,6097,1989,-0.140818192,1.568450611,-0.14103735,1.568450611,2.108317993,-2.249136185,-2.021117712,-0.539867381,-0.554570557,-2.249355343,-0.539867381,1.508782772,2.108317993,0.893217746,0.538327382,0.893245329,0.538327382,0.897164804,718791,4042,718179,4042,768337,1989,1.677808601,2.213820854,1.677808601,2.213820854,2.108317993,-0.430509392,-0.489006304,0.105502861,0.09495785,-0.430509392,0.105502861,2.680988489,2.108317993,30.56084571,23.39709302,30.56084571,23.39709302,35.09368357,6196,3440,6196,3440,6586,1989,2.805823691,2.806665811,2.805818848,2.806661931,2.76139735,0.044426341,0.005964866,0.045268461,0.029109211,0.044421498,0.045264581,3.753678382,2.76139735,28.779545,27.22117431,28.77930331,27.2213253,28.58774857,641936,403234,641890,403230,660119,1989,-2.580537743,-2.021117712,-0.489006304,0.005964866,-2.936495528,-2.249136185,-0.430509392,0.044426341,-1.106503741,-0.554570557,0.09495785,0.029109211,-1.198331413,-0.539867381,0.105502861,0.045268461,-2.936495528,-2.249355343,-0.430509392,0.044421498,1989,8.401113327,7.366245841,5.364095286,4.214782239,6097,768337,6586,660119,1989,2.132465015,2.108317993,18445,2.76139735,847106
1990,0.09640735,0.84808,0.095018605,0.827159037,1.915716583,-1.819309232,-2.702487811,-1.067636583,-1.161154078,-1.820697978,-1.088557546,0.807583818,1.915716583,0.955120383,0.800530063,0.955160954,0.800950331,0.975641601,5677,264,5675,263,6271,1990,0.315315282,1.269700597,0.315173425,1.269700597,1.915716583,-1.600401301,-2.111495853,-0.646015986,-0.624911009,-1.600543158,-0.646015986,1.228696151,1.915716583,0.891900459,0.550687347,0.891837176,0.550687347,0.897247986,722404,4058,720965,4058,801030,1990,1.468741205,1.959342886,1.468741205,1.959342886,1.915716583,-0.446975378,-0.516252136,0.043626303,0.111604995,-0.446975378,0.043626303,2.404159736,1.915716583,32.80315639,23.39972261,32.80315639,23.39972261,35.13085075,6970,3605,6970,3605,6794,1990,2.558782852,2.558774024,2.558830457,2.558784783,2.514458274,0.044324577,0.008062684,0.044315749,0.027882334,0.044372182,0.044326509,3.536698522,2.514458274,29.03366937,27.38807431,29.03349717,27.38832347,28.61317528,643374,406685,643308,406679,676221,1990,-2.702487811,-2.111495853,-0.516252136,0.008062684,-1.819309232,-1.600401301,-0.446975378,0.044324577,-1.161154078,-0.624911009,0.111604995,0.027882334,-1.067636583,-0.646015986,0.043626303,0.044315749,-1.820697978,-1.600543158,-0.446975378,0.044372182,1990,7.855125301,7.346945483,5.22696376,4.206733932,6271,801030,6794,676221,1990,1.90925836,1.915716583,23216,2.514458274,872685
1991,0.035532066,0.504682767,0.035004503,0.504682767,1.6679392,-1.632407133,-2.798092041,-1.163256432,-1.429470947,-1.632934697,-1.163256432,0.435526384,1.6679392,0.961729231,0.797400493,0.961723052,0.797400493,0.970706938,9153,277,9151,277,6533,1991,0.210492668,1.049627355,0.21031315,1.049627355,1.6679392,-1.457446532,-2.154061881,-0.618311845,-0.492227326,-1.457626049,-0.618311845,1.023154527,1.6679392,0.90255096,0.561258976,0.902555789,0.561258976,0.899733472,800428,3955,799080,3955,809973,1991,1.229493733,1.713600182,1.22963788,1.713600182,1.6679392,-0.438445467,-0.470861831,0.045660983,0.135458548,-0.438301319,0.045660983,2.18613452,1.6679392,29.496,21.60119904,29.49308923,21.60119904,34.15689954,8250,4170,8248,4170,6928,1991,2.321553005,2.322593456,2.321572908,2.32261185,2.293718346,0.027834659,0.016479953,0.02887511,0.036703748,0.027854562,0.028893504,3.305553285,2.293718346,29.31284826,27.67321371,29.31220509,27.67307773,28.61003152,634413,403643,634301,403625,683386,1991,-2.798092041,-2.154061881,-0.470861831,0.016479953,-1.632407133,-1.457446532,-0.438445467,0.027834659,-1.429470947,-0.492227326,0.135458548,0.036703748,-1.163256432,-0.618311845,0.045660983,0.02887511,-1.632934697,-1.457626049,-0.438301319,0.027854562,1991,7.473919017,7.331111985,4.989462357,4.173388305,6533,809973,6928,683386,1991,1.378402057,1.6679392,22766,2.293718346,875017
1992,-0.593948567,0.273027641,-0.594036533,0.273027641,1.442311987,-2.036260553,-2.731178721,-1.169284346,-1.011670144,-2.03634852,-1.169284346,0.296592963,1.442311987,0.942794067,0.754711295,0.942787075,0.754711295,0.967668566,6753,312,6752,312,7005,1992,-0.281252248,0.815020841,-0.280373716,0.815392828,1.442311987,-1.723564236,-2.151273046,-0.627291146,-0.591793395,-1.722685703,-0.62691916,0.808584673,1.442311987,0.874343831,0.562881782,0.874244194,0.562918692,0.896870027,631466,4143,629338,4142,801200,1992,0.685875341,1.356868604,0.685875341,1.356868604,1.442311987,-0.756436646,-0.498920505,-0.085443383,0.095258485,-0.756436646,-0.085443383,1.894583447,1.442311987,33.06042188,22.35978836,33.06042188,22.35978836,33.86300427,8391,3969,8391,3969,7263,1992,2.085666425,2.089349394,2.085693474,2.089345536,2.060544785,0.02512164,0.027578885,0.028804609,0.040116663,0.025148689,0.028800752,3.065348379,2.060544785,29.59708136,27.88348079,29.5968875,27.88369815,28.66301455,610900,388923,610698,388876,679970,1992,-2.731178721,-2.151273046,-0.498920505,0.027578885,-2.036260553,-1.723564236,-0.756436646,0.02512164,-1.011670144,-0.591793395,0.095258485,0.040116663,-1.169284346,-0.627291146,-0.085443383,0.028804609,-2.03634852,-1.722685703,-0.756436646,0.025148689,1992,7.766364204,7.237419955,4.686025567,4.129426739,7005,801200,7263,679970,1992,1.516812438,1.442311987,21594,2.060544785,863585
1993,-0.723611573,0.087273434,-0.724929942,0.087273434,1.162288296,-1.885899869,-2.763069398,-1.075014861,-1.498536969,-1.887218237,-1.075014861,0.002635791,1.162288296,0.935191353,0.761012438,0.935199663,0.761012438,0.962418084,4332,237,4327,237,6918,1993,-0.627739583,0.486990845,-0.624348444,0.487591718,1.162288296,-1.790027879,-2.220913548,-0.675297451,-0.666879837,-1.78663674,-0.674696577,0.482157424,1.162288296,0.861185843,0.569188659,0.860859879,0.569188456,0.90041062,512195,3982,509262,3981,788609,1993,0.887133592,1.334202728,0.886992859,1.334202728,1.162288296,-0.275154704,-0.42733265,0.171914432,0.093252636,-0.275295437,0.171914432,1.740651083,1.162288296,27.6999159,21.37135772,27.68943472,21.37135772,31.87280453,5945,3226,5944,3226,7060,1993,1.814049488,1.800509771,1.81409553,1.800485173,1.774871876,0.039177613,0.024521629,0.025637895,0.037432493,0.039223654,0.025613297,2.817831444,1.774871876,29.63045751,28.0988339,29.62856199,28.09938155,28.75327893,578629,370723,578188,370602,671941,1993,-2.763069398,-2.220913548,-0.42733265,0.024521629,-1.885899869,-1.790027879,-0.275154704,0.039177613,-1.498536969,-0.666879837,0.093252636,0.037432493,-1.075014861,-0.675297451,0.171914432,0.025637895,-1.887218237,-1.78663674,-0.275295437,0.039223654,1993,7.674580037,7.189384245,4.506363176,4.097113885,6918,788609,7060,671941,1993,0.842697906,1.162288296,21387,1.774871876,847107
1994,-1.884397401,-0.383033476,-1.889977751,-0.392022697,0.913896667,-2.798294068,-2.894819406,-1.296930144,-1.211404036,-2.803874418,-1.305919365,-0.361854617,0.913896667,0.95681511,0.791404995,0.956783551,0.791966978,0.954601861,9326,306,9306,305,7477,1994,-0.944973637,0.274093971,-0.960381565,0.274093971,0.913896667,-1.858870304,-2.273608818,-0.639802696,-0.647073021,-1.874278233,-0.639802696,0.196987389,0.913896667,0.919167581,0.587149655,0.91851178,0.587149655,0.896796068,913718,3884,902954,3884,779851,1994,0.222804109,0.771477658,0.222621312,0.771477658,0.913896667,-0.691092557,-0.464175876,-0.142419009,0.072908598,-0.691275355,-0.142419009,1.48720068,0.913896667,34.33322704,24.52702703,34.31631839,24.52702703,30.67275413,6272,3182,6269,3182,7447,1994,1.54592818,1.53910846,1.546155263,1.539082359,1.507861903,0.038066277,0.027056339,0.031246557,0.037083099,0.03829336,0.031220455,2.57852779,1.507861903,29.87004642,28.27466865,29.86379234,28.27567288,29.04997723,562270,359211,561569,359056,661081,1994,-2.894819406,-2.273608818,-0.464175876,0.027056339,-2.798294068,-1.858870304,-0.691092557,0.038066277,-1.211404036,-0.647073021,0.072908598,0.037083099,-1.296930144,-0.639802696,-0.142419009,0.031246557,-2.803874418,-1.874278233,-0.691275355,0.03829336,1994,7.648676292,7.232860414,4.409775785,4.080280259,7477,779851,7447,661081,1994,0.909094359,0.913896667,21950,1.507861903,835165
1995,-1.525152611,-0.223789585,-1.551524693,-0.223789585,0.840156841,-2.365309452,-3.054913495,-1.063946426,-1.310700197,-2.391681534,-1.063946426,-0.725723692,0.840156841,0.948719725,0.776512731,0.948552439,0.776512731,0.959337363,7742,347,7697,347,7594,1995,-0.627225058,0.03901948,-0.655322647,0.038858309,0.840156841,-1.467381899,-2.200614929,-0.801137361,-0.667880882,-1.495479487,-0.801298532,0.065290716,0.840156841,0.921225179,0.620732443,0.920579008,0.62071912,0.892827552,837315,3699,826333,3698,752374,1995,0.061967656,0.575340504,0.062396483,0.575358735,0.840156841,-0.778189184,-0.468197422,-0.264816336,0.021033499,-0.777760358,-0.264798106,1.262012385,0.840156841,31.06563927,22.15560775,31.03927449,22.14247944,29.50092666,7008,3406,7002,3404,7554,1995,1.361053416,1.347745674,1.36160411,1.347718149,1.312390922,0.048662494,0.033573814,0.035354752,0.03712647,0.049213188,0.035327226,2.335932578,1.312390922,29.98581371,28.38965767,29.97092486,28.39320222,29.21140725,550602,351062,549576,350850,637840,1995,-3.054913495,-2.200614929,-0.468197422,0.033573814,-2.365309452,-1.467381899,-0.778189184,0.048662494,-1.310700197,-0.667880882,0.021033499,0.03712647,-1.063946426,-0.801137361,-0.264816336,0.035354752,-2.391681534,-1.495479487,-0.777760358,0.049213188,1995,7.382460702,7.233703165,4.380727618,4.067073005,7594,752374,7554,637840,1995,0.63783126,0.840156841,24408,1.312390922,806020
1996,-1.089418459,-0.219564928,-1.092969327,-0.239166802,0.79449739,-1.883915849,-2.634235639,-1.014062318,-1.134843716,-1.887466717,-1.033664192,-0.541346432,0.79449739,0.937889356,0.791086719,0.937881278,0.791127035,0.950550744,6032,276,6009,275,7804,1996,-1.107003,-0.017410087,-1.090764021,-0.01757427,0.79449739,-1.901500389,-2.02493676,-0.811907477,-0.695954579,-1.885261411,-0.81207166,-0.011329055,0.79449739,0.925708191,0.626816439,0.924286028,0.626747314,0.893301212,826436,3512,804227,3505,703508,1996,0.152121534,0.55363306,0.151025855,0.55363306,0.79449739,-0.642375855,-0.575137833,-0.24086433,0.018228771,-0.643471534,-0.24086433,0.940055963,0.79449739,33.60716261,22.43423371,33.59792388,22.43423371,30.9106427,7232,3406,7225,3406,7733,1996,1.195826099,1.178470973,1.196670365,1.178546555,1.132433809,0.06339229,0.028800274,0.046037164,0.025275236,0.064236556,0.046112746,2.0741423,1.132433809,30.29231934,28.65296573,30.24840083,28.65895329,29.5692938,541490,340877,539499,340534,588689,1996,-2.634235639,-2.02493676,-0.575137833,0.028800274,-1.883915849,-1.901500389,-0.642375855,0.06339229,-1.134843716,-0.695954579,0.018228771,0.025275236,-1.014062318,-0.811907477,-0.24086433,0.046037164,-1.887466717,-1.885261411,-0.643471534,0.064236556,1996,7.067116637,6.878413192,4.424665334,4.070234152,7804,703508,7733,588689,1996,0.597103353,0.79449739,33952,1.132433809,745454
1997,-0.426286619,0.083182731,-0.509150956,0.070074187,0.771530004,-1.197816623,-1.955183819,-0.688347272,-1.256886386,-1.28068096,-0.701455816,-0.129829116,0.771530004,0.947699796,0.796581233,0.9471831,0.796666429,0.954287058,8648,313,8432,312,7956,1997,-0.007216714,0.237963974,-0.025435856,0.238129676,0.771530004,-0.778746717,-1.851940496,-0.53356603,-0.662618144,-0.796965859,-0.533400327,-0.040319491,0.771530004,0.929880582,0.640355473,0.927192303,0.64038315,0.903020899,851054,3627,808752,3626,701169,1997,0.237381105,0.507262147,0.235614506,0.505522835,0.771530004,-0.534148899,-0.678132909,-0.264267856,-0.131671373,-0.535915498,-0.266007168,0.611383807,0.771530004,36.49370612,23.50299713,36.35625759,23.46932916,30.94385471,8262,3837,8230,3831,7819,1997,1.065403211,1.040377722,1.065232849,1.040415952,0.990691133,0.074712078,0.029545817,0.049686589,0.026632781,0.074541716,0.049724819,1.83666107,0.990691133,30.79659068,29.04682273,30.75042421,29.05191674,29.69534813,556533,345879,553383,345457,581444,1997,-1.955183819,-1.851940496,-0.678132909,0.029545817,-1.197816623,-0.778746717,-0.534148899,0.074712078,-1.256886386,-0.662618144,-0.131671373,0.026632781,-0.688347272,-0.53356603,-0.264267856,0.049686589,-1.28068096,-0.796965859,-0.535915498,0.074541716,1997,6.739327079,6.774074455,4.341698065,4.087006665,7956,701169,7819,581444,1997,0.213102765,0.771530004,97051,0.990691133,741224
1998,-0.739706005,-0.026596197,-0.761614368,-0.050846254,0.628877547,-1.368583553,-1.821414695,-0.655473745,-1.18153398,-1.390491914,-0.679723802,-0.209805502,0.628877547,0.951887086,0.777429491,0.951497654,0.777419127,0.953022,8059,249,7851,248,7726,1998,-0.313135541,0.024842273,-0.352416858,0.024068671,0.628877547,-0.942013088,-1.820722735,-0.604035273,-0.819845679,-0.981294405,-0.604808876,-0.187606119,0.628877547,0.911762087,0.627514391,0.905799081,0.627519284,0.906467793,741010,3597,681932,3592,689547,1998,0.161764046,0.384863034,0.159980939,0.385174301,0.628877547,-0.467113501,-0.727854222,-0.244014513,-0.240922868,-0.468896608,-0.243703246,0.351041052,0.628877547,31.66766647,22.29918033,31.39428744,22.24200645,31.76047431,6668,3416,6617,3409,7590,1998,0.885576931,0.848713774,0.884755291,0.848666692,0.795207932,0.090368999,0.035492036,0.053505842,0.029204164,0.089547359,0.05345876,1.61176369,0.795207932,30.75779103,29.25732562,30.70484429,29.26588478,29.8292224,550248,342360,545756,341821,560214,1998,-1.821414695,-1.820722735,-0.727854222,0.035492036,-1.368583553,-0.942013088,-0.467113501,0.090368999,-1.18153398,-0.819845679,-0.240922868,0.029204164,-0.655473745,-0.604035273,-0.244014513,0.053505842,-1.390491914,-0.981294405,-0.468896608,0.089547359,1998,6.768213786,6.787856977,4.173958494,4.058414228,7726,689547,7590,560214,1998,0.124939613,0.628877547,177875,0.795207932,725459
1999,-0.554544558,-0.200704521,-0.605812711,-0.226796113,0.47722794,-1.031772498,-2.155448967,-0.677932461,-1.371819197,-1.083040652,-0.704024054,-0.749058372,0.47722794,0.961654087,0.80938028,0.959171097,0.809776536,0.948288074,6214,226,5527,224,7367,1999,-0.622598819,-0.268074964,-0.655693043,-0.26564337,0.47722794,-1.099826759,-1.74395881,-0.745302904,-0.707012181,-1.132920983,-0.74287131,-0.27270327,0.47722794,0.92768865,0.64373978,0.915902026,0.643858084,0.909283862,840096,3246,690741,3232,688613,1999,-0.019354497,0.19144158,-0.027439825,0.189172172,0.47722794,-0.496582438,-0.702091858,-0.28578636,-0.216665677,-0.504667765,-0.288055768,0.248131312,0.47722794,32.96477924,23.35614661,32.71202046,23.2195361,32.00250487,5934,3083,5865,3061,7186,1999,0.734267073,0.69997014,0.733314217,0.699817029,0.648825145,0.085441927,0.049129468,0.051144994,0.039012057,0.084489072,0.050991883,1.416118113,0.648825145,30.93011514,29.50918165,30.87750257,29.52391007,30.06535054,565473,348031,557277,347155,548427,1999,-2.155448967,-1.74395881,-0.702091858,0.049129468,-1.031772498,-1.099826759,-0.496582438,0.085441927,-1.371819197,-0.707012181,-0.216665677,0.039012057,-0.677932461,-0.745302904,-0.28578636,0.051144994,-1.083040652,-1.132920983,-0.504667765,0.084489072,1999,6.93825091,6.899077649,4.112873671,4.030371889,7367,688613,7186,548427,1999,-0.173347359,0.47722794,171031,0.648825145,721430
2000,-0.767541584,-0.467309111,-0.788831709,-0.500548608,0.208881045,-0.976422629,-2.892804579,-0.676190156,-1.293338945,-0.997712753,-0.709429653,-1.821881816,0.208881045,0.949828205,0.793092561,0.946700132,0.792992735,0.954148877,7519,291,6628,284,7028,2000,-1.132004079,-0.867449745,-1.200799589,-0.862585633,0.208881045,-1.340885124,-1.802915599,-1.07633079,-0.648748822,-1.409680633,-1.071466679,-0.561807039,0.208881045,0.938474535,0.659477523,0.922904267,0.65954847,0.909187356,1000721,3121,739901,3102,723090,2000,-0.652361094,-0.334630227,-0.677498103,-0.344479478,0.208881045,-0.86124214,-0.664080288,-0.543511272,-0.277091173,-0.886379147,-0.553360523,0.179861557,0.208881045,33.40056418,22.18643176,32.92957561,22.03135796,32.71434879,7799,3803,7611,3763,6795,2000,0.490167595,0.458696805,0.487616301,0.458292206,0.403912267,0.086255328,0.063127172,0.054784537,0.048035779,0.083704034,0.054379938,1.234678885,0.403912267,31.04125435,29.51319535,30.92657119,29.54336006,30.24815851,592592,363234,576681,361381,551184,2000,-2.892804579,-1.802915599,-0.664080288,0.063127172,-0.976422629,-1.340885124,-0.86124214,0.086255328,-1.293338945,-0.648748822,-0.277091173,0.048035779,-0.676190156,-1.07633079,-0.543511272,0.054784537,-0.997712753,-1.409680633,-0.886379147,0.083704034,2000,6.637548759,6.79240508,4.112656818,4.015658696,7028,723090,6795,551184,2000,-0.29293668,0.208881045,165477,0.403912267,757295
